GeneA	GeneB	label	diff_Gene_Effect	PRODE_NICE	MUFFINN_sum	MUFFINN_max	RWR	NetSig
ARID1A	CHEK1	SL	0.261311175624953	-2.76382954715577	0.53646302036463	0.482951704829517	0.551155115511551	0.517649
ARID1A	TOP1	SL	-0.371007543764774	-2.39183291135782	0.358597473585975	0.424207579242076	0.316831683168317	0.572427683333333
ARID1A	VHL	SL	-0.145223471655945	-1.86752474767169	0.404509549045095	0.521464520214645	0.410891089108911	0.440393
ATM	ACVR1	SL	0.181798840778265	-1.16185947707858	0.484951504849515	0.758224177582242	0.514851485148515	0.202797
ATM	APEX1	SL	-0.236115476336124	-2.73024696079416	0.406884311568843	0.608814118588141	0.410891089108911	0.38911075
ATM	BIRC5	SL	-0.0892874064514658	-2.79539233711635	0.412883711628837	0.574442555744426	0.457920792079208	0.488761275
ATM	CHEK1	SL	-0.562988648219447	-4.22691367523448	0.423882611738826	0.54072092790721	0.425742574257426	0.48576425025
ATM	HMGCR	SL	-0.00973214109757754	-2.66852496761092	0.48002699730027	0.498825117488251	0.517326732673267	0.451548525
ATM	MAP3K4	SL	0.545767473116939	-1.31732894970596	0.668833116688331	0.627962203779622	0.660891089108911	0.42057925
ATM	NAE1	SL	-0.466800989367222	-2.15894676980555	0.373312668733127	0.285446455354464	0.376237623762376	0.41858155
ATM	SETD2	SL	0.037662114393417	-1.84560793718179	0.484801519848016	0.439381061893811	0.477722772277228	0.59115875
ATM	SMO	SL	-0.727522270926033	-2.58168237490353	0.261973802619738	0.346640335966403	0.235148514851485	0.57667325
ATM	TPSAB1	SL	0.411774796989258	-1.29742458469732	0.5999400059994	0.592165783421658	0.576732673267327	0.4782715
ATM	VHL	SL	-0.02915185486218	-1.7273096147445	0.404184581541846	0.442205779422058	0.418316831683168	0.62012975
BRCA2	ALAD	SL	0.992339881280876	-0.619699870513794	0.810518948105189	0.737792887377929	0.795379537953795	0.595404666666667
BRCA2	APEX1	SL	0.841888760036387	-1.37991746773504	0.82971702829717	0.818818118188181	0.787128712871288	0.5464535
BRCA2	BRAF	SL	0.750687453222459	-2.11307194676444	0.747691897476919	0.661300536613006	0.759075907590759	0.634698666666667
BRCA2	BRCA1	SL	0.20971703927699	-4.15910119839628	0.364763523647635	0.416091724160917	0.511551155115512	0.143190000333333
BRCA2	CDK9	SL	-0.785091826259244	-4.15238162305104	0.170682931706829	0.124487551244876	0.141914191419142	0.119547033333333
BRCA2	CIT	SL	0.437955480801467	-1.74973025995324	0.602106456021065	0.546778655467787	0.587458745874587	0.262404
BRCA2	ERBB4	SL	1.23254037324626	-0.58739187290862	0.797920207979202	0.593357330933573	0.755775577557756	0.89677
BRCA2	FEN1	SL	-0.415323443111761	-3.95505169404783	0.212578742125787	0.311468853114689	0.32013201320132	0.0992340333333333
BRCA2	FLT3	SL	-0.22411942984892	-1.58155683619096	0.405692764056927	0.364063593640636	0.402640264026403	0.859807
BRCA2	MAP2K1	SL	0.468260049148297	-1.28553004876945	0.663933606639336	0.645035496450355	0.597359735973598	0.708291666666667
BRCA2	NAE1	SL	0.79693710933893	-1.53589009813682	0.555344465553444	0.547511915475119	0.514851485148515	0.708625
BRCA2	NAGK	SL	-0.637739168761624	-1.96443975427545	0.193180681931807	0.186881311868813	0.158415841584158	0.356643
BRCA2	NRAS	SL	-0.303589123932155	-1.78368671703472	0.334399893343999	0.50944905509449	0.313531353135314	0.695637666666667
BRCA2	P2RY6	SL	0.225426122199917	-1.47191669691048	0.521081225210812	0.562543745625438	0.567656765676568	0.531468333333333
BRCA2	PARP1	SL	-0.121881922417916	-2.8659284884912	0.381661833816618	0.341899143418992	0.402640264026402	0.445887333333333
BRCA2	PKLR	SL	-0.0340149872381227	-2.43092865142827	0.448888444488884	0.468219844682199	0.475247524752475	0.495171366666667
BRCA2	SLC5A5	SL	0.38567146846704	-0.938740317592486	0.615071826150718	0.555477785554778	0.577557755775578	0.713952666666667
BRCA2	SMARCB1	SL	0.208847200496131	-2.07417791370161	0.464720194647202	0.297270272972703	0.498349834983498	0.51681667
BRCA2	SPHK2	SL	0.356233555435643	-0.918564140873747	0.639036096390361	0.594773855947739	0.574257425742574	0.696637
BRCA2	STMN1	SL	-0.641409452108005	-1.97430930680773	0.215278472152785	0.105189481051895	0.247524752475248	0.867133
BRCA2	TPSAB1	SL	0.255513565236819	-1.56708611010499	0.541412525414125	0.421657834216578	0.521452145214522	0.373293333333333
BRCA2	TYK2	SL	0.00420884078751828	-1.20078375048003	0.502449755024497	0.357964203579642	0.399339933993399	0.938728
BRCA2	WEE1	SL	-1.04126864895599	-4.192905143106	0.164416891644169	0.113921941139219	0.122112211221122	0.0522810333333333
CDH1	BRCA1	SL	0.359466577981691	-2.47056402353594	0.484329344843293	0.474030374740304	0.495049504950495	0.625263666666667
CDH1	CDK9	SL	-0.885862831833221	-3.26758597525096	0.226177382261774	0.310135653101357	0.212321232123212	0.638139777777778
CDH1	MAP2K1	SL	-0.208003077562569	-2.00224417474481	0.390927573909276	0.339521603395216	0.372937293729373	0.797202777777778
